"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
151.7018887,8.241952178,-0.2734362692,-5.794480784,10.07871771
151.7118817,5.211122205,-1.189182746,-4.265194155,6.83826231
151.7218747,2.234239227,-1.87914893,-2.903219755,4.117245508
151.7318677,-0.6323523992,-2.795453816,-0.7342874944,2.958649983
151.7418597,-2.957044544,-5.506694863,1.129909009,6.351731663
151.7518527,-3.882143058,-8.4205776,1.317854819,9.365570093
151.7618457,-4.791430115,-9.835720732,0.7239741755,10.9646406
151.7718387,-5.331493571,-9.077072568,-0.6375639495,10.54630541
151.7818317,-5.227104399,-4.103242069,-0.9128790021,6.707649659
151.7918247,-4.755944825,0.7830643827,0.7438442568,4.877038577
151.8018177,-3.92607085,2.981149106,1.028463326,5.035773935
151.8118107,-3.868849705,3.584792846,-0.8060281527,5.335580491
151.8218037,-4.698604982,3.331052338,-2.209286234,6.168771686
151.8317967,-6.010763444,2.894499217,-2.479700078,7.117325015
151.8417897,-7.81810038,2.355459609,-1.318683954,8.271022361
151.8517817,-8.523148288,1.470166016,0.1966126263,8.651248544
151.8617747,-7.169392734,0.7410129619,1.321104702,7.32766061
151.8717677,-4.639450163,0.2405065048,2.242683191,5.158679006
151.8817607,-2.578974982,-0.4598355639,2.706237584,3.766468182
151.8917537,-0.2830385667,-1.533755656,3.095237639,3.465979412
151.9017467,2.917553327,-2.390976182,4.135432745,5.59738229
151.9117397,5.199879763,-2.77900326,4.933451382,7.687688287
151.9217327,5.578226776,-2.493230535,3.85456408,7.224297662
151.9317257,3.729614052,-1.260629289,1.782662855,4.321700364
151.9417187,0.6771835864,0.2468419629,0.5922072073,0.9328547264
151.9517117,-1.179561737,0.6997152472,0.008057536259,1.371507289
151.9617037,-2.296703863,0.2541515672,-0.2832391262,2.328017623
151.9716967,-2.89955472,-0.1912460518,-0.2252090192,2.914568875
151.9816897,-2.697082599,-0.5193760067,0.3053182125,2.763553001
151.9916827,-1.886712304,-0.8034723347,0.867157284,2.226479927
152.0016757,-1.079933076,-1.096277506,1.155531435,1.924404509
152.0116687,-0.7103045547,-1.220995692,1.13359736,1.811189116
152.0216617,-0.530495072,-1.183512116,0.8870717311,1.571312256
152.0316547,-0.7188908985,-0.9228315479,0.5511842752,1.293145891
152.0416477,-0.9769346648,-0.5426327223,0.2749898926,1.15085666
152.0516407,-1.106982588,-0.1034939629,0.2524324858,1.140106842
152.0616337,-1.027758371,0.1068251216,0.3834077775,1.102134474
152.0716257,-0.5734338078,0.1429538977,0.5756975573,0.8250392877
152.0816187,0.09621871099,0.2275087291,0.6773116404,0.7209502898
152.0916117,0.5887542437,0.361997028,0.6175606978,0.9268519964
152.1016047,1.089523679,0.3964529157,0.3357377672,1.207044577
152.1115977,1.461779501,0.6081449264,0.02482610822,1.583431684
152.1215907,1.525720997,0.711564045,-0.2012851546,1.695483313
152.1315837,1.283544966,0.695421052,-0.2911790603,1.488584349
152.1415767,1.236341856,0.4887348425,-0.4373261591,1.399520311
152.1515697,1.417838114,0.3271125394,-0.585729077,1.568549037
152.1615627,1.42820435,0.2614085466,-0.5780510616,1.562768417
152.1715557,1.438076058,0.3459996307,-0.5882427585,1.591793968
152.1815487,1.653171587,0.4154867721,-0.748938278,1.861857701
152.1915407,1.968789085,0.4209960186,-0.920951668,2.213937688
152.2015337,2.268299697,0.4178484625,-1.093922174,2.552733158
152.2115267,2.674892415,0.2896757412,-1.232814084,2.959525644
152.2215197,3.157202922,0.08057580113,-1.310311326,3.419259938
152.2315127,3.448041967,0.04209059715,-1.302505878,3.686093676
152.2415057,3.428382166,0.3243900758,-1.141832578,3.628059376
152.2514987,3.382427729,0.6421581799,-0.8545325607,3.5473103
152.2614917,3.156385481,0.913183642,-0.2758827442,3.297390629
152.2714847,2.844963653,1.09788549,0.6429820526,3.116503915
152.2814777,2.75803953,1.265183101,1.424334955,3.352044211
152.2914707,2.889953299,1.190110699,1.566094851,3.495832752
152.3014627,3.010666435,1.140074905,1.40457429,3.5123656
152.3114557,2.763715422,1.434494492,1.223339841,3.345513077
152.3214487,2.155776025,1.275498759,0.7951266038,2.628020865
152.3314417,0.9373094,0.7154694003,0.3982304692,1.244601495
152.3414347,-0.7440349491,0.4113861197,-0.1157234144,0.8580317323
152.3514277,-1.931247768,0.6278471196,-0.9151559079,2.227424585
152.3614207,-2.279900427,0.1155661243,-1.656095195,2.820275302
152.3714137,-2.565334598,-1.784128752,-1.694741782,3.554744254
152.3814067,-2.918428655,-4.580973621,-1.415896254,5.613137031
152.3913997,-2.91988315,-7.275610914,-0.9539955262,7.897489427
