"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.089487083E0,1.439629810E0,1.097638153E0,-3.373466286E0,3.828526908E0
1.099504083E0,1.842754837E0,1.077611439E0,-1.957256622E0,2.896177703E0
1.109520083E0,2.384658850E0,1.344513445E0,-1.049869325E0,2.931985647E0
1.119537083E0,2.931415321E0,1.628604510E0,-7.983373100E-1,3.447156929E0
1.129554083E0,3.366630891E0,1.687462583E0,-5.888392476E-1,3.811622382E0
1.139570083E0,3.884078486E0,1.557207084E0,-4.437581328E-1,4.208073296E0
1.149587083E0,4.256103196E0,1.633755907E0,-6.623298313E-1,4.606761725E0
1.159604083E0,3.849495421E0,1.767668256E0,-9.148992151E-1,4.333625115E0
1.169620083E0,2.957293343E0,1.666599718E0,-9.553395818E-1,3.526444704E0
1.179637083E0,1.631723561E0,1.135434555E0,-7.546093462E-1,2.126303994E0
1.189653083E0,1.018102352E0,6.967431074E-1,-5.533288877E-1,1.352093272E0
1.199670083E0,9.780984800E-1,6.309221703E-1,-6.036611353E-1,1.311162152E0
1.209687083E0,8.697136136E-1,7.314445782E-1,-7.622583814E-1,1.368375234E0
1.219703083E0,1.256448238E0,7.771598643E-1,-1.249189358E0,1.934712816E0
1.229720083E0,8.554072311E-1,3.961564618E-1,-1.992988957E0,2.204691918E0
1.239737083E0,6.477948958E-1,7.019740266E-1,-2.591485392E0,2.761920039E0
1.249753083E0,7.743071540E-1,8.735477060E-1,-2.595277897E0,2.845716873E0
1.259770083E0,1.073468321E0,7.243454736E-1,-2.257613472E0,2.602658101E0
1.269787083E0,1.104816926E0,2.924683714E-1,-2.060590956E0,2.356309248E0
1.279803083E0,1.538622147E0,-1.574532384E-1,-2.117673814E0,2.622344755E0
1.289820083E0,1.893888007E0,-3.790627116E-1,-2.103246394E0,2.855546483E0
1.299836083E0,2.056087576E0,-7.005133921E-1,-1.880903241E0,2.873327711E0
1.309853083E0,2.253016683E0,-1.171671504E0,-1.533666193E0,2.966653044E0
1.319870083E0,2.203666183E0,-1.676034200E0,-1.538908953E0,3.167566267E0
1.329886083E0,2.409762701E0,-1.780742045E0,-2.008883735E0,3.607438477E0
1.339903083E0,2.717072767E0,-1.781544868E0,-2.614560844E0,4.170409446E0
1.349920083E0,3.188675268E0,-2.072227499E0,-3.135399824E0,4.928743129E0
1.359936083E0,3.490669631E0,-2.358955075E0,-3.355642803E0,5.386072979E0
1.369953083E0,3.827319271E0,-2.644508529E0,-3.444911368E0,5.788714235E0
1.379970083E0,4.407804529E0,-3.058089693E0,-3.308218376E0,6.302774164E0
1.389986083E0,5.429410459E0,-3.580771131E0,-2.820124388E0,7.088971815E0
1.400003083E0,6.435742586E0,-4.028514653E0,-2.526702921E0,8.001996038E0
1.410020083E0,6.827042350E0,-3.434760309E0,-2.488301917E0,8.037271431E0
1.420036083E0,6.296725034E0,-2.018890368E0,-2.808953868E0,7.184350096E0
1.430053083E0,5.364477714E0,-5.791719729E-1,-3.726683720E0,6.557532529E0
1.440069083E0,4.909909322E0,-2.812627673E-2,-4.881790647E0,6.923863124E0
1.450086083E0,4.620828828E0,-4.668510532E-1,-4.537582603E0,6.493047423E0
1.460103083E0,3.344031402E0,-4.610225487E-1,-2.548506019E0,4.229653737E0
1.470119083E0,1.776686562E0,-4.558372378E-2,-8.102913576E-1,1.953270361E0
1.480136083E0,3.989907534E-1,-2.069920188E-1,4.684964232E-1,6.492520433E-1
1.490153083E0,4.206929136E-1,-1.711611584E0,1.886661433E0,2.581876857E0
1.500169083E0,9.764331199E-1,-3.921371443E0,2.423854491E0,4.712286729E0
1.510186083E0,7.622055372E-1,-5.064613785E0,4.389342238E0,6.745190535E0
1.520203083E0,9.992012275E-1,-5.603792557E0,5.207315083E0,7.714727764E0
1.530219083E0,1.381814588E0,-7.332008479E0,3.788785243E0,8.367953962E0
1.540236083E0,4.882532512E-1,-8.895678490E0,2.365653645E0,9.217798229E0
1.550253083E0,-6.177492705E-1,-9.358600799E0,1.495937619E0,9.497518225E0
1.560269083E0,-1.737316821E0,-9.143832568E0,1.566499479E0,9.438318938E0
1.570286083E0,-2.632102491E0,-8.903005636E0,2.154894119E0,9.530741920E0
1.580302083E0,-3.817920164E0,-8.103259147E0,2.625033792E0,9.334351911E0
1.590319083E0,-4.714098642E0,-6.033017362E0,2.251305496E0,7.980501295E0
1.600336083E0,-5.895358118E0,-3.416594179E0,2.108250002E0,7.132536799E0
1.610352083E0,-5.814290566E0,-8.904736412E-1,2.698347352E0,6.471475606E0
1.620369083E0,-4.908845714E0,7.101379091E-1,2.208102904E0,5.429252299E0
1.630386083E0,-4.772301534E0,2.292336577E0,2.127200682E0,5.705668379E0
1.640402083E0,-4.759278030E0,3.685976574E0,2.097881720E0,6.374814380E0
1.650419083E0,-4.928906926E0,3.695629742E0,1.016325603E0,6.243774532E0
1.660436083E0,-4.687607831E0,3.852798221E0,6.243700728E-1,6.099799939E0
1.670452083E0,-3.755211408E0,4.495104336E0,1.435829119E0,6.030686608E0
1.680469083E0,-2.162893256E0,5.278113170E0,1.005196012E0,5.791977632E0
1.690485083E0,-1.264971724E0,6.115874746E0,1.414844924E0,6.403582086E0
1.700502083E0,-8.801003882E-1,6.602358996E0,3.053028051E0,7.327120941E0
1.710519083E0,-1.714183774E0,6.661090769E0,3.297346940E0,7.627650561E0
1.720535083E0,-3.304530829E0,6.533128547E0,3.216075321E0,7.996551324E0
1.730552083E0,-4.820992176E0,7.154762415E0,3.502591811E0,9.311323223E0
1.740569083E0,-6.145019608E0,7.673327998E0,3.469954115E0,1.042505684E1
1.750585083E0,-7.054161070E0,7.766985775E0,2.984547508E0,1.090847287E1
1.760602083E0,-7.253500838E0,7.601327723E0,2.821379786E0,1.087904598E1
1.770619083E0,-6.637717109E0,6.826917220E0,2.956266865E0,9.970235750E0
1.780635083E0,-5.415404039E0,5.647179481E0,2.733102324E0,8.287767209E0
1.790652083E0,-4.029144106E0,4.611312484E0,2.179169858E0,6.499768174E0
1.800668083E0,-2.493219425E0,3.595665159E0,1.535186470E0,4.636997793E0
1.810685083E0,-4.579211855E-1,2.658269366E0,2.502526438E-1,2.709006131E0
1.820702083E0,1.667502089E0,1.054431322E0,-1.097612717E0,2.257685166E0
1.830718083E0,4.230279261E0,-1.072261822E0,-2.331557069E0,4.947844622E0
1.840735083E0,6.164551647E0,-3.485631085E0,-3.751644606E0,8.014122430E0
1.850752083E0,6.920619435E0,-5.228255716E0,-5.801223793E0,1.043474143E1
1.860768083E0,5.968324937E0,-5.897237998E0,-7.321672940E0,1.113576280E1
1.870785083E0,5.568576531E0,-4.818550671E0,-5.629056036E0,9.268966879E0
1.880802083E0,6.284447050E0,-2.668879139E0,-3.791341353E0,7.809702929E0
1.890818083E0,6.649585787E0,-1.301974951E0,-3.376069174E0,7.570335064E0
1.900835083E0,6.412567146E0,-1.440177986E0,-2.992913704E0,7.221680032E0
1.910852208E0,5.818103535E0,-1.891935622E0,-2.283352623E0,6.530195123E0
1.920869208E0,4.864880499E0,-1.939105110E0,-1.650845565E0,5.491127569E0
1.930886208E0,3.879279384E0,-1.537975007E0,-1.028318242E0,4.297861569E0
1.940902208E0,2.066742811E0,-1.149963716E0,-8.485032043E-1,2.512727618E0
1.950919208E0,-2.655603620E-1,-2.138098138E0,-1.396751592E0,2.567664496E0
1.960936208E0,-1.640008043E0,-4.060925184E0,-1.973425635E0,4.803659904E0
1.970952208E0,-1.701217866E0,-6.185298153E0,-3.826905873E0,7.469756625E0
1.980969208E0,-5.493979508E-1,-7.639651544E0,-2.054567446E0,7.930155182E0
1.990986208E0,-1.046206629E0,-8.071432752E0,1.627116394E0,8.300004984E0
2.001002208E0,-3.414780665E0,-7.605838850E0,3.303556976E-1,8.343778910E0
2.011019208E0,-6.673690934E0,-4.346340060E0,2.796299323E-1,7.969128904E0
2.021036208E0,-9.979749348E0,2.139818389E0,2.487073417E0,1.050522508E1
2.031052208E0,-1.178290786E1,6.803108527E0,4.803440881E-1,1.361432825E1
2.041069208E0,-1.114553914E1,8.133156545E0,-2.044376627E-1,1.379902434E1
2.051085208E0,-8.575420641E0,6.227647197E0,3.856325262E0,1.127797293E1
2.061102208E0,-5.383560103E0,2.201522886E0,8.723045880E0,1.048431933E1
2.071119208E0,-3.713817506E0,-2.740737911E0,8.174834329E0,9.387864564E0
2.081135208E0,-3.023834365E0,-4.667648653E0,6.626815560E0,8.651312194E0
2.091152208E0,-3.011759572E0,-4.504434738E0,6.280900129E0,8.295199483E0
2.101169208E0,-2.567671730E0,-3.954805822E0,5.901024070E0,7.553509931E0
2.111185208E0,-1.484820893E0,-3.464856513E0,5.529380890E0,6.692083141E0
2.121202208E0,-1.439931526E0,-2.828056721E0,4.652321931E0,5.631643363E0
2.131219208E0,-1.060872834E0,-1.515571400E0,3.953175033E0,4.364630647E0
2.141235208E0,-1.149463560E0,-3.841825336E-1,3.096662021E0,3.325383943E0
2.151252208E0,-1.473507846E0,5.640247607E-1,2.475141588E0,2.935247040E0
2.161268208E0,-9.374030285E-1,8.551699072E-1,2.426920624E0,2.738609816E0
2.171285208E0,-5.917266027E-1,7.912183249E-1,2.381381339E0,2.578205557E0
2.181302208E0,-1.442780728E-1,5.967761850E-1,2.316313670E0,2.396302776E0
2.191318208E0,6.972086189E-1,3.135201019E-1,2.174421626E0,2.304887008E0
2.201335208E0,1.902571122E0,3.441396314E-1,-1.543729252E0,2.474127920E0
2.211352208E0,3.952613701E0,1.147357612E0,-8.895213636E0,9.801245339E0
2.221368208E0,3.068768463E0,1.012161800E0,-1.632416310E0,3.620303081E0
2.231385208E0,2.991222689E0,1.439224305E0,1.501895932E0,3.643414767E0
