"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
"8.799950833E-1","-3.826827228E-2","3.676639155E0","3.265505928E0","4.917587712E0"
"8.900150833E-1","9.862329072E-1","3.852414059E0","2.448113126E0","4.669797352E0"
"9.000350834E-1","8.115666354E-1","2.674266179E0","1.634365772E0","3.237513162E0"
"9.100550833E-1","3.885767162E-2","6.564432201E-1","8.325113618E-1","1.060897162E0"
"9.200750833E-1","-4.939166451E-1","-1.825743386E0","5.054973480E-1","1.957758957E0"
"9.300940833E-1","7.703256387E-1","-4.355096265E0","2.629750156E-1","4.430510233E0"
"9.401140834E-1","5.388483458E0","-7.581343110E0","2.897637418E-1","9.305722989E0"
"9.501340833E-1","1.479238790E1","-1.131157317E1","1.849389819E0","1.871327523E1"
"9.601540833E-1","2.756835646E1","-1.273506495E1","3.251339586E0","3.054124042E1"
"9.701740833E-1","3.941624911E1","-1.018413877E1","2.845213037E0","4.080995729E1"
"9.801940834E-1","4.832291511E1","-5.924506488E0","1.901934360E0","4.872187656E1"
"9.902130833E-1","5.253440259E1","-2.249363635E0","1.302565520E0","5.259866699E1"
"1.000233083E0","4.997279822E1","-2.322906990E0","1.045054289E0","5.003767178E1"
"1.010253083E0","4.342730807E1","-6.117034834E0","2.806514994E0","4.394571342E1"
"1.020273083E0","3.701439536E1","-1.001473558E1","4.808269511E0","3.864556699E1"
"1.030293083E0","3.298400784E1","-1.105342795E1","4.455317541E0","3.507096943E1"
"1.040313083E0","3.051807094E1","-9.920830464E0","3.162569497E0","3.224557918E1"
"1.050332083E0","2.877778987E1","-8.190297875E0","1.641320450E0","2.996558196E1"
"1.060352083E0","2.692513234E1","-6.183823485E0","4.598624611E-1","2.762994567E1"
"1.070372083E0","2.315568968E1","-4.094247297E0","-1.443103787E-1","2.351530674E1"
"1.080392083E0","1.783290729E1","-2.888173699E0","-6.440368903E-1","1.807675063E1"
"1.090412083E0","1.232385951E1","-2.364722183E0","-8.539495202E-1","1.257770464E1"
"1.100432083E0","6.764101167E0","-1.615347411E0","-1.142584676E0","7.047546495E0"
"1.110451083E0","2.445026674E0","-1.088877854E0","-1.192898651E0","2.930327219E0"
"1.120471083E0","-8.013597357E-1","-9.448214641E-1","-1.154655449E0","1.693544871E0"
"1.130491083E0","-3.464610345E0","-7.372700129E-1","-8.685804963E-1","3.647125442E0"
"1.140511083E0","-5.322747890E0","-9.750699147E-1","-2.945874023E-1","5.419334662E0"
"1.150531083E0","-6.472695819E0","-1.228835639E0","-5.714483857E-2","6.588557788E0"
"1.160551083E0","-7.437549552E0","-1.183041561E0","4.404157913E-1","7.543917864E0"
"1.170570083E0","-8.218370942E0","-1.423702286E0","1.180351842E0","8.423881506E0"
"1.180590083E0","-8.864138024E0","-2.303271894E0","2.017358251E0","9.378045566E0"
"1.190610083E0","-1.005778980E1","-3.370629802E0","2.592739620E0","1.091982507E1"
"1.200630083E0","-1.071501801E1","-3.711590302E0","2.282400988E0","1.156705960E1"
"1.210650083E0","-1.113892009E1","-4.110218382E0","1.769900430E0","1.200424856E1"
