"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.172775833E0,-7.962020237E0,-1.556411862E0,5.416556525E0,9.754756211E0
1.182767833E0,-1.378603180E1,-3.892287392E0,1.111934244E1,1.813406602E1
1.192758833E0,-1.513724148E1,-1.688729090E0,7.642944696E0,1.704119975E1
1.202750833E0,-5.810149568E0,-5.071460874E0,-3.741895251E0,8.572008718E0
1.212741833E0,4.648376230E0,-7.323510135E0,-1.258474356E1,1.528453378E1
1.222733833E0,1.285430137E1,-7.309063420E0,-2.250864382E1,2.693129255E1
1.232724833E0,1.957593772E1,-5.694378791E0,-3.013011520E1,3.637948775E1
1.242716833E0,1.137394542E1,9.308305389E-1,-9.019262316E0,1.454579570E1
1.252707833E0,5.787632525E0,4.820363308E0,-2.635420494E-1,7.536713281E0
1.262699833E0,2.959305663E0,4.439748160E0,1.682300223E0,5.594549827E0
1.272691333E0,-3.466787848E-1,1.243522675E0,-2.532743387E-1,1.315554147E0
1.282683333E0,-2.067588903E0,-4.247107548E0,-2.933424132E0,5.560379801E0
1.292674333E0,-2.578625611E0,-7.250635702E0,-1.118710495E0,7.776409280E0
1.302666333E0,-2.543865961E0,-6.311816112E0,1.537387362E0,6.976663713E0
1.312657333E0,-2.409359243E0,-3.044047020E0,2.008598391E0,4.371006946E0
1.322649333E0,-4.205864504E0,-6.965963423E-2,1.081080008E0,4.343142028E0
1.332640333E0,-7.104579856E0,9.325659925E-1,-9.060330820E-1,7.222577809E0
1.342632333E0,-4.688489884E0,2.462291163E0,-8.506084943E-1,5.363613518E0
1.352623333E0,-6.240496454E-1,2.302894894E0,-2.202168126E-1,2.396092298E0
1.362615333E0,-8.540919730E-1,8.580859137E-1,1.449007866E0,1.888228887E0
1.372606333E0,-6.256526595E-1,-7.978227550E-1,2.496487434E0,2.694515152E0
1.382598333E0,1.348476834E0,-3.439452699E0,2.060628963E0,4.230179235E0
1.392589333E0,7.357913983E-1,-6.053460397E0,7.917388733E-1,6.149196875E0
1.402581333E0,1.267038861E0,-8.866361135E0,-1.427923684E-1,8.957574276E0
1.412572333E0,3.330896802E0,-1.069674429E1,-1.259570651E-1,1.120406520E1
1.422564333E0,3.774469505E0,-9.248867272E0,1.786178201E-2,9.989418647E0
1.432555333E0,3.716901620E0,-6.395845279E0,1.639608678E0,7.576972423E0
1.442547333E0,3.414557009E0,-4.032094318E0,3.418512651E0,6.293108366E0
1.452538333E0,2.866051344E0,-1.734322169E0,2.904004451E0,4.433437215E0
1.462530333E0,3.572062873E0,-1.595873551E0,-9.053741008E-2,3.913392720E0
1.472522333E0,5.716818066E0,-3.253810619E0,-2.339370410E0,6.981543258E0
1.482513333E0,8.059027884E0,-3.254223433E0,-1.904360809E0,8.897442929E0
1.492505333E0,9.202533351E0,-2.988787324E0,-4.015527110E-1,9.684044316E0
1.502496333E0,7.445187185E0,-2.978345366E0,3.384709020E-1,8.025952647E0
1.512488333E0,2.857573758E0,-1.284813958E0,5.701657990E-1,3.184582190E0
1.522479333E0,-2.783408259E0,4.125479615E-1,2.420824317E0,3.711865802E0
1.532471333E0,-5.476061300E0,-3.066425484E0,7.671572664E0,9.911772785E0
1.542462333E0,-3.974686063E0,-3.038888022E0,6.205980924E0,7.971647818E0
1.552454333E0,1.763868442E0,1.632359592E0,-8.021176080E-1,2.533618436E0
1.562445333E0,4.276059743E0,2.747848710E0,-1.682178454E0,5.353978317E0
1.572437333E0,4.979925637E0,1.496955035E0,-1.251134580E0,5.348445705E0
1.582428333E0,5.260212504E0,-4.005617541E-1,-9.211387058E-1,5.355257400E0
1.592420333E0,4.782132750E0,-2.908693918E0,-9.684048928E-2,5.598095393E0
1.602411333E0,9.844351807E-1,-7.321197562E0,3.347638550E0,8.110223808E0
1.612403333E0,-1.310790798E-1,-7.211463450E0,2.953290632E0,7.793863764E0
1.622394333E0,4.298480892E0,-2.620334970E0,-9.814236454E-1,5.128965364E0
1.632386333E0,4.750049370E0,-1.352080327E0,-1.483471355E0,5.156721583E0
1.642377333E0,3.232681121E0,-9.299885398E-1,-1.430437109E0,3.655305218E0
1.652369333E0,1.521872944E0,-3.710350692E-1,-1.226075607E0,1.989227406E0
1.662360333E0,-1.171761551E-1,8.166513741E-2,-9.281415506E-1,9.390666557E-1
1.672352333E0,-1.360162641E0,6.843452561E-1,-6.838004418E-1,1.669117696E0
1.682343333E0,-2.255790018E0,1.211596293E0,-6.471100406E-1,2.641080382E0
